Riot Games Name,Riot Games Tag Line,Summoner Level,Summoner Id,Summoner Name,Summoner Points,Summoner Rank,Summoner Wins,Summoner Losses,Is Veteran?,Is Inactive?,Is Fresh Blood?,Is Hot Streak?,Summoner Tier
Victorious,HLG,762,rY978LAxHRRBj8Y7Bf_QEMXiQZ8trR2GJW-NS9Rpsk72azA-G98u9vIghg,HLG Victorious,602,I,122,87,False,False,True,False,Challenger
mikej,VN2,221,5zFlRLcJb7MgSFht8_a2c9XPSEU1_WKJsLLSdBcZdqtMs5v9q97oL9GYhQ,mikej,703,I,231,185,False,False,True,False,Challenger
Duy Pingboda,9999,27,cePM-S7ZzR-HtHClRmVaw46tVSyXImYZ8t0JgeK04ulxOZ-SfpebnlqREw,H2B DoubleA,704,I,122,83,False,False,True,False,Challenger
Top1GamingTopTop,6789,1,lKv7DpczM6V21FMjCfbwVzaDFkPu-v27vPfb6o4hBAQna28AcToJPzs5gQ,TikTokTop1Gaming,613,I,115,81,False,False,True,False,Challenger
kobisao,VN2,380,TVO29WY8nCcAW0d6fFQR8ANek9PPxvGQmy9CRtrFjamTk0DJb1KRy7mnIg,kobisao,540,I,82,45,False,False,True,False,Challenger
Tôn Hiền,VN1,234,V6QpZgyHIqjVIs75_T4Dt_Lz_fekOhQtsx5kwix4b8ZhPsmvuh_GvicdeA,Tôn Hiền,889,I,104,67,False,False,True,False,Challenger
Better version,1708,40,oWai27K_N0ADtH0wND1NcaVaSusuNjHQicxJiiGtrR2XJ19IDonnuv0_vQ,Better version08,1016,I,243,204,False,False,True,True,Challenger
ThomasK21700,21700,1,ejcBGJM9sm_VHMhDCNRsqlGUAcQLGDdBlKWYT089a3PxgvxYhDgpdvcrZg,,954,I,137,100,False,False,False,True,Challenger
Vô Ám Giả,1982,2,fka_OYewvQkYADYFIMoL0woQ4Y-jANSXAc2MC_Aunm9ARiWeE0AlBFsZ3Q,Vô Ám Giå,533,I,115,85,False,False,True,True,Challenger
HP AnhTu,2413,444,zysYNkg2pptETBt-FxHGiOkLzwZjtmBZEWpS2FYQw1MVU023_ODoa9DLLg,T1 AnhTu HP,560,I,119,91,False,False,True,False,Challenger
1211112444444444,111,2,IRM3MNDg-hsoeCBThhFB75Bi_Nkdnz9d7qIhGQ8pYCvncTy6WRXA74jUBQ,anh luan dau ten,843,I,192,148,True,False,False,False,Challenger
BAP,2606,75,toQiXTyhiLvrMNsXTFPqNyw904VVgNLCc6CyGuQ9sCY1M2c9xOL2t-jDlA,CoBacHuNguoi,541,I,141,107,False,False,False,True,Challenger
rerollkingcamile,VN2,4,-4IcJUxN3tZq6xXNMJuqo63_IIOd4y_ZK95QMFMgQyROlE_-bQzF1GXCNg,rerollkingcamile,686,I,197,146,False,False,False,False,Challenger
ĐịnhMệnhĐêmVề,VN2,8,vPqNJWplC6OEpxwMxtnHAzMzwwJ1RJIwU_jterUM4_iM1B8dCbY0OllaFw,ĐịnhMệnhĐêmVề,1051,I,221,173,False,False,False,True,Challenger
WASP,1712,262,u3fWoenqEozBG_OmbkVFl1QSOiR_w7-XjWDsj4-FJpnmOEv83CNRkuKKRg,WASPAOB,916,I,112,62,False,False,False,True,Challenger
Dizzyland,oggyz,142,NHR5O1dNfRd7Oz3tZ_85dwuNXE8wTa80UEFtcjuiXx-cQnTfvxmmSB2ghQ,Dizzyland,1279,I,163,98,True,False,False,False,Challenger
20112001,1995,47,dnI6SXNxZnAxkyvPo3I7haimOc4RdMH5D5RlZs9x4Xuq9bbAgrKbhCbJUw,Nguyentamtit,528,I,144,130,False,False,True,True,Challenger
Just1MoreT1me,0310,17,rycA4Fo9VMJTY5cyVXC5o1yl6M85rsXsTlB3C0e99YZ1tkd1F_s3Ck08Pg,Peggÿ,879,I,145,111,False,False,True,False,Challenger
Mirius,2002,684,kALWKBH9YbLPonY-dFw1R81a9mKsHo2uPhx_yhzZXfb27-x5YU-zYqu8zQ,gudboy aint fun,557,I,146,124,False,False,True,True,Challenger
Long Bến Tre,0910,611,AyOay3vbqX--NAum-bI-13pMGMEl5JkukPqfYk6PtaAvt0WCw8NH3QYnuA,SBTC LongBếnTre,540,I,188,157,False,False,False,False,Challenger
Bluewhale1,11223,196,sbQ0f_jRsxEJv3ODHxwcc9-bJjT2nopQfqy4egu583r0d5OlJxyt6ZWOyw,ßlue Whale,695,I,144,115,False,False,True,True,Challenger
H97,VIP,426,-H5HjIgSB5pgYudncRvbTanbO50LXdwnjjYqBagbAIKV0kPlp_pJGW7NVg,97 Never TĐ,867,I,212,169,True,False,False,False,Challenger
293,2936,61,fO7WdYz0AR0Ckx3YkGsEEGn-K5fKx1MdKNkJ7tsX35C27aG0ZZaRyBu1iQ,B 2 9 0 3,622,I,161,124,False,False,True,False,Challenger
GK A Mạnh Đen,GK20,22,sKSkbP2to7Gke05Ie7dJnAvqVLFGqMN9fdcvFn8DXM1-NDjzEMCYqgYyDA,GK A Mạnh Đen,631,I,210,183,False,False,False,False,Challenger
WrongTimes,Kag1,690,efPtAB-fzHYbpj1JaIueEqAEzV3FgeNq9zM_vzvsJX8cFLQz_Nqx7BthAA,Mơ khi đang mơ,638,I,138,104,False,False,False,False,Challenger
TFA Chunji ,VN2,363,pYuprpP8D0x0ZB4ro4uLIu7jbZwOcv1hMcDYYTo4jB8B2wGwdIYj87g8FA,TFA Chunji,1018,I,233,172,True,False,False,True,Challenger
stevetan,2199,315,-rbf9NwTGgSuo2DOsh-gZhgpRh6GMzIdvFko96Pm9eo91AI-P1FuibZyVA,St3Mura,721,I,115,56,False,False,True,False,Challenger
nolia Silver,VN2,87,WI-qhj-kBByRLG8j09NoE8K-OjC2-FSacNaAzaHVmFxB202HdrbOOVIIwA,nolia Silver,772,I,222,162,True,False,False,False,Challenger
0093,VN1,115,_c9YKfl8w-xl8rWCSO4TNfvQ8JR6eId9HkrCbk589idGK09lUg9NGuTTmA,Bất Ngờ Chưa,536,I,123,76,False,False,True,False,Challenger
Em Linh Tới Chơi,2107,369,v58mkAIhV4eInJGT31qG53KJ1IibqjiJ1js8O3y7bWxihpDSUN9m5_DNqQ,Hisu Tới Chơi,518,I,116,73,False,False,True,False,Challenger
Nhân Phẩm Cộng1,13219,252,Z1TjX3fbJfcMDGmsds6bkY12JP-BrE9Q33paplLVD15zZ_kUYf8eCBTeqA,Nhân Phẩm Cộng,557,I,132,103,False,False,True,True,Challenger
Darlingsz,0512,30,sfLkySVHP3CjMa7YNzKYGzwZ3HtIAr8whRgEY1aMyGePxu7NrMyyfXGiiA,Darlingsz,682,I,139,93,False,False,True,False,Challenger
Zevk3,LOL,7,w2E_U0Ix-Fh-qIxozFRMcMzaZx6lJO_ZdL8D4wICaxOZmRaZTm5dSacIXQ,VN BbiLanhXinkk,772,I,164,125,False,False,False,False,Challenger
drampe,nbs,504,lS9ER9Dy1GWFVKJFGINjKa2H7GWDHHvyUGPefGdeSKywDilaI9fMESuAAw,Drampe,837,I,136,77,False,False,False,False,Challenger
DucKoi Flexible,MDuc,281,5cRPtXljGyA4tpnCU5xdQknGZfgK5G58_ND71nryYq22dwae2rL39NgFYA,Hoàng Tử 36,547,I,119,67,False,False,True,True,Challenger
Ếch xô đi xa,VN2,32,Bt1A_GMz53fCGRRA_DvgYm7mTsKpcgDBbm9RuyKtJJP4Xm85wruh6ye9pQ,Ếch xô đi xa,538,I,91,62,False,False,True,False,Challenger
HLG Dekisugi,20802,125,Epu9yv8LgXW-WeohKjgRKQ2EswVoUorZMkfbVIS1ESTJMq474jh3-QowOg,HLG Dekisugi,601,I,157,123,False,False,False,False,Challenger
ng gã dùng,2510,253,rW2Pco9P3ARPpidta_KvxxqV28tlNVer0GVsdRoOFn3GDe_1OANQLmk7hA,NG gã dùng,702,I,94,62,False,False,False,False,Challenger
NG TVD,TVD,69,0mddM8m_ccoGj9pkhFmz73XFbKu5YfnfCsyHeRZUjQ9msEN727KarbmwSQ,NG TVD,1002,I,189,145,False,False,False,False,Challenger
Tần Vấn Thiên,VN2,518,rsyOeM3ZJ9hdlCUqGJ6r5gAkrq6PyLWnsMwuB84-y9gKXeJ9RmOVb7zT5Q,Tần Vấn Thiên,608,I,222,178,False,False,True,True,Challenger
asduong,1112,348,xWIeoxxAf53vBgTOL-xqd9FpbVHpj2LEJz_valxOpIeUWVMEuyoill7bSQ,asduong,583,I,165,123,False,False,True,False,Challenger
1210199612101996,19966,10,UdCUsiVT4n3JyNQUy8PjlKTS5YAl7omI_NyoJFXNE58JvOBOiV-GlBiyRA,SG Y1,724,I,191,139,False,False,True,True,Challenger
T1 Conal,6868,349,5sGmj8NcNf-h2ZxlN1WmXIx4R86qKyuoN8DfWfVTJOYq0RWVL2uzaYTQDg,T1 Conal,565,I,150,101,False,False,True,True,Challenger
Nam Cung Uyển,1405,368,TNH9aHJofikqh7XP2w6GUpqDsbG2lGXR1O0spyuX0qQrlfGNG_XEg7TL7g,CosPlay LoLiTa,566,I,188,151,False,False,True,False,Challenger
Rebirth,HANM,364,voxjEaVaciIb5Jz_94w26odWGzwQ1SrcLp_AG91_ljdJgafaa4iNfHrHjg,Felix D4rk9x,785,I,284,262,False,False,True,False,Challenger
Bvfyeuem,143,238,FKflC976ofUUEDALMKkCwLIPTt1nJGna9Ge0KSkEE5wqDnehLhDqWAs5tw,ptzzzznh,546,I,142,110,False,False,True,True,Challenger
dtcl2610,2610,1,dr1d77VPrgcrAgEHrFprjrwL_RGCTYUswEFZ6bylJrk9hPDHkLdaVNf8Ww,,528,I,79,39,False,False,True,False,Challenger
NG Nhật Khánh,2003,15,63NYt8W6-nfZQNTUHIkbj3jKawAhSnCyCMxsCxLorYo8adYdRMG2TPssEg,NG Nhật Khánh,537,I,176,139,False,False,False,False,Challenger
AMFMinhy,VN2,5,_rMGvbtc3SRiSmjVY6sJMM1wADR_jDplSqvq4ohj9KjwfO21QAsZGHOh-w,AMFMinhy,609,I,260,227,False,False,True,False,Challenger
heniss,0612,6,JtUc3o44vknMtFyOlSBtf5Hd6BtgJZlcND4QuROfmgYQjQLcoC8zgTnqLQ,H E N I S S,626,I,88,53,False,False,False,False,Challenger
Sphyrnus,0512,444,XWYwj7URdKLY6kXwb_L_4E_GzoW4jKVjix7mhBmcBcUo3Vg70f7udqhrdg,Sphyrnus,615,I,114,71,False,False,True,True,Challenger
ĐỔI TÊN ĐỔI VẬN1,VN2,188,0QuP0UqKCoqMpR704xf4PfzP7HyzpUe5j3DrPKAAVV5yLwdVSYxGlsIlNA,ĐỔI TÊN ĐỔI VẬN1,614,I,103,65,False,False,True,False,Challenger
Picasso,2001,437,7hYalV_Sy4Z5CLmuFUfSGNBsEyGSr_UXbZ80N40e7pKLy17RSVk8E6hXSQ,Yêu Đơn Phương 2,561,I,121,88,False,False,True,False,Challenger
Alan fanboy,2109,1,CRNZ5gr0Dc8JgSfdjaZxd-5y_ZYUbKh-HJ_2uu-CRmBRb7iGA_j7gX9MAQ,Liêm Đao,528,I,104,65,False,False,False,False,Challenger
Cam1,4690,343,g3IDnlXdikwsVuaMT_flUlujd8lVOyBgPR-6qR9CPbxQoMY1c5NhYdUduQ,MeomeoXLala,569,I,105,72,False,False,True,False,Challenger
congb1nhf,1202,308,ZgBQMrRhEGG3FlrW-czCSk_YS3chvUsMn9BaOwLGd1BKZWolRsAG0z1SMA,c0ngb1nhf,534,I,132,95,False,False,True,True,Challenger
T1 TDuongw,2606,104,hM8xB32w5AXTH39hdUOt9vevs0iDudYVVm_imYNNg6pLCUBc2KGldTGCcQ,MakeMoneyBoy,613,I,126,88,False,False,True,False,Challenger
NNG Blade,VN2,318,GWH3qnyGvJQXK5lhN1J8U5a4LIVZjctrMWjj2I4ISdmEGIg7EiOPBCa9Ag,NNG Blade,579,I,91,60,False,False,True,False,Challenger
TSKMilfhunter,99999,211,kZC96qxJre8hUIV73f95TxGkL9Z22-OuvP7gqnx-TWE17P1ZlFG-SYshPA,TSK Milfhunter,1168,I,261,198,True,False,False,False,Challenger
CảnhDương newday,08100,37,6qG7eWKmAchcmvitOzSJ5bjMwMiGxd1cwoe939V08_DB2Pv37DHDb_PHow,Tắt Đèn Đóng Cửa,679,I,126,95,False,False,True,False,Challenger
GD Royal,1704,243,5ZpY5mKL1gG1YTh1-igs5Ru7C-SfGGHqiyuJ2mIgtfU0hDFv9RnlF2Ti4w,GD Royal,1521,I,155,81,True,False,False,False,Challenger
Lê Chuyên,2311,459,zgksXSetm02hdBxsiZ2c2IZAOgPopZlThZSodW8pDeEMkKsdW9907EjDqQ,Lê Chuyên,850,I,196,135,True,False,False,False,Challenger
Henessy,1994,329,ghIBPozOzsXU_QGObaxp_FgQtC_LhLAlVOYz3-OWSeTUznBDnNgy0g6Q-A,Red Bull,539,I,238,188,False,False,True,True,Challenger
KaneMely,6976,153,EBJ4kQ7pN3EdUGlrk3vz8cROl0hFVWMFkFOtt5eGePRtJvKMf6wLBYE4gQ,A ChàngCôĐơn,748,I,231,183,False,False,False,True,Challenger
Lộc Thanh Phương,TN20,8,n-Bn7IzkBP06bZ6_0xO9oAx5lk5DvxegmugEoN8qED_3TB8TmCz4DEQYoQ,MaiTuan001,611,I,180,146,False,False,True,True,Challenger
1234561234563333,12345,222,mYWIUrPyTMjNcrqoeO8UadBFhpCV2qGpTPOk8q9_4QGt4vb-eI3G3TEWvA,Đô Khùng Kąrma,518,I,212,181,False,False,True,False,Challenger
Hoài Mập,VN2,434,005kwvJxFDDI9nPoyhB0hhi3_1Bg1tHfAvqUr-XDaNR4DEwNZbCgqjKjrQ,Hoài Mập,515,I,133,111,False,False,False,False,Challenger
VN ArThurr1,7083,120,mb0iegCtidVykWHBE776dqNxQsbgXJwF8nnf6pccyx1O9DTLMf0jcjS-ng,Bố Mài Nà Tượng,548,I,102,68,False,False,True,True,Challenger
Ng Hà Tây Bay,1112,389,uyj4M74DikZj226lkh2aqig-rMFDB7CJwOcdPrW1BOIlQnRb-NvVDugFWg,Ng Hà Tây Bay,550,I,130,114,False,False,True,True,Challenger
haquinnnn,666,93,lD5Zux4KU2vDWiXDUQ3zId7haiBiaqX0s0-Nyuc8VEymXK5MZ4MFp_O5PA,Haquin tới chơi,617,I,135,99,False,False,True,False,Challenger
Thoai,9642,346,qeLe4HlZGXM98F0fKybP8klaI3gBq4IoFmwxqs8GRDsYtWN9-j8FD0kFNg,Ơ Chấn Bé Đù,544,I,118,82,False,False,True,False,Challenger
ursuck,1310,3,8ErON7tD9Ko-1fXQmS2Px0dfkiv5rRcnvTb7S98OMKHrGRZvbTbgmmpSWQ,Ryyyyyy,750,I,118,78,False,False,True,False,Challenger
NG 1vs3,VN2,206,SOK04VmBJBCqaraCouSePHZ34Medznkohy-V7_qmh9KlcSCp8LNWl6DSKA,NG 1vs3,534,I,78,48,False,False,True,False,Challenger
Cin Bu Buoi,cinbb,166,haf2XVR802ljuxJWUBUsAm-RhP5obi2o2YY1qJawA3oS-sPjt2lhdgxQyw,wibu tuoi loz,895,I,136,99,False,False,False,True,Challenger
Last Dance,0211,1,4aYSZw6qjImuAvyVy6ro7ax4Eevuo3q9mJG06ASYLXNOJYe83qVt12qWww,Simon Dominician,890,I,113,83,False,False,True,False,Challenger
Lý Thất Dạ,777,12,IDg6MYKuog9gHaVSeFDXJNqUScnfnipVZKXHCiEEdi2Eo-iI2-zYUJdlTw,PK 999,717,I,103,72,False,False,False,True,Challenger
dragonBpro,7218,37,HspgGTxUKG0A0gD7h3r0vDra_RWhgGRReaVo6fzJspf56st9JnjE5-V9qw,dragonBpro,533,I,145,121,False,False,True,False,Challenger
Huyee,1999,596,CLI_Vo4ZkDmkKq94ret5JrsNTZ6qZXQ_qcYqQ-25eCZrVSK73_5xL2c5QA,Huyee,900,I,229,177,False,False,True,True,Challenger
HNZ Mikeyy,0508,10,ltSTvjIdAdTogt9K3GbeMJSq977iHt1c2FqBU-zNaV8AXGwjNbY-An8sEQ,HNZ boi tháng 8,693,I,248,191,True,False,False,False,Challenger
Gumayuuu Nghĩa,VN2,258,Q8dCCTJxg7j_huoL4YORhwcRDG5pnbPIXaY_WE1DKJtD0xrU4lsRouKnDg,Gumayuuu Nghĩa,555,I,180,144,False,False,True,False,Challenger
Dan,0811,412,hKzFIFOUHOLCepqWPpZ8kD70GcpeduMDEKJRHRtvRMUjDV41w5zEh09xHQ,Conrad,666,I,107,82,False,False,True,True,Challenger
Hưn,hung,687,NcoxVojCIDmDRY3lHI0vyZhkoKzCpjYZrG7rwpGkj5NMnhFPIYvObU1YOw,Anh Hưng đến đây,857,I,174,148,False,False,True,False,Challenger
TG QUYEN2K,VN2,11,tOzxsJwMlP3f-k6Ue2__DZ-Y4NgV7gZu1URHpRaQltjLTmGlL0J5sv1i8A,TG QUYEN2K,697,I,153,123,False,False,True,False,Challenger
Empeureur,TDDN,837,HbHU2XWlEqAwM6WKhrsGq0T7Kxc-SG4nS2axD_137Y-fvDbwSJAYspXHhg,Empeureur,527,I,162,127,False,False,True,False,Challenger
Đậu Còi,12345,277,u2gXvlBaFqXoOu897njA5HUqJtBgzCKNGwomYbe7_6glEWIsyT64fYnz9g,Đậu Còi,587,I,171,126,False,False,True,False,Challenger
Ngẫn Viết Nhuyên,VN2,986,xYJt93TDMvpahv6Lc9-gaNux1iOVA8ergiMLcDXR2zhwmCH-VE1prTO94A,Ngẫn Viết Nhuyên,523,I,155,116,False,False,True,False,Challenger
Anh iu LanPhương,20021,41,aNIhoYvycWlIU7TG67q97L2rJUDxJvMGwWNoU3S7FecPsQOtQ1fukHQK-w,Anh iu LanPhương,675,I,206,177,False,False,True,False,Challenger
opken,123,132,6CwUWGVGYrpr8ZyHZffN-sNQC9_q-IlUxXF_Pxa3dKnHMwlmCBZoLMpY1g,OPKen,1213,I,126,69,False,False,False,False,Challenger
209199,20919,541,-YofD_ogtOoJDOFX35C5jaY5SIHtbV-kFBpaZIZW96NF7Ba87ovAHEGFNA,Iac mat em roi,709,I,297,255,False,False,True,True,Challenger
T1 Suzyy Bae,9287,4,LKJqXJknoS2mhJIt9tXL4Wd9-ozIJCvSSlXyYulKO7W8faWaKO2M8wtnug,T1 z,604,I,185,148,False,False,True,False,Challenger
Vẫn Chưa Có Bồ,UIT,455,O16DTSnjaYWKjlsXB8RHppRwql4QJ8a8-LsgxrwDXPPJBl7EZ3FGgmBuiA,Vẫn Chưa Có Bồ,830,I,233,191,False,False,True,False,Challenger
可不可以,2895,61,t66fTLtdebuDjW57lLUB0ZdfjKHuWtBFqX4t3ln1u80G0_L10q9WOvwQpg,Leon1e,889,I,164,132,False,False,False,True,Challenger
doupbleTD,2001,515,_D_ClCs5eG8ZtmsNOGWg2iyh14i3fWR3K9X_i76itvsBez3oWZiKqyqLHA,CT1 DoubleTD,649,I,204,179,False,False,True,False,Challenger
taiyou,VN3,53,LPmpBuPnF3_Fxqj4BrJocmxjqaj9sLftlIkjCUUtIZw0H43onN8dm0BzyA,t41y0u,531,I,143,122,False,False,False,False,Challenger
luckyluke,1202,273,HBx6eodviECotrn9DcKLSwezEKCAU4IZeFGaVkE3YQNTfF1tbMvZDdR5Eg,Kỳ thủ Đông Lào,1007,I,136,80,False,False,False,True,Challenger
KND Lemon8,0712,446,noQTHKrfBvfDCe4Yo9T598lGPnCV40eJV-ycX_9xlsWnUdg-gHsx-MboLw,KND Lemon8,756,I,154,139,False,False,False,False,Challenger
K Ô N G S Ơ N,2403,318,CX7eYV_e-trDk6k6ysNPgDoOm_Q9BaIFtDEhWeBvRmDeIN8F9zq5EjVkaQ,K Ô N G S Ơ N,914,I,192,153,False,False,False,False,Challenger
KIGN,2004,442,AWdef3gajvRuyeu2mNnuT90tSoQv0ZOXFkL6NE0sV4MPIoMOqoZgpzLLEQ,KIGN,550,I,301,256,False,False,True,False,Challenger
PTii,3004,275,lKI4Uo1u3kRXILKqcMWZGRDL9Y-tK-4aFsASs6JVyElHFPgHLZ5DzJFjDw,PTii,773,I,190,150,False,False,True,False,Challenger
Ngồi Lên Đầu Bạn,VN2,319,NyVLld6Suic_9d0sDRwjF7_w7BzC8jn466C4AvJk_1BLQ0QGXkz6-qdVgg,Ngồi Lên Đầu Bạn,513,I,251,230,False,False,True,True,Challenger
Sonbuiii,VN2,224,7jp9C_kIXjoQonKmfw5LexfJjDAaIvjCFiA4IpT1s8-FTzSTv6a_hcMg-g,Sonbuiii,531,I,198,173,False,False,True,False,Challenger
n3an,0707,286,wEPqlO70bWtL_M4_4tTujB1hYrupP1-km1PM3kPNhVpMEBqneNySU1nlkg,YB Anh Nhi,519,I,230,181,True,False,False,False,Challenger
H2dra,3008,409,AFOmD-uS8difwRzZckEftMG9_5AYdmSJ7KNseqLl2ukj93mGIkN8UJJxxg,Thô mát Pa tây,626,I,140,103,False,False,True,False,Challenger
quanvodamidside,2709,228,RBVLbgLMaGODr2o--4eIEp456hGzXL1k2tNnAYHi9-Duj4mcXlXwKlAObA,Cờ Thủ Nghệ An,549,I,151,107,False,False,True,True,Challenger
Nỗi Sầu Đêm Vắng,VN2,31,w3B7_38pZMFmmdCmeCIo5AdLeoZRGTeGxzbfCZqJ7T5KbV43S1hE4Cqxzg,Nỗi Sầu Đêm Vắng,703,I,223,185,False,False,True,False,Challenger
Dexx,4850,75,JYFspXI4zRFQVfE1ZVeOl0p3eC64YwLlNA5JmieWr3sNc7WADz8nauyenw,Retxed,583,I,166,152,False,False,True,True,Challenger
tuanjhg,1357,233,PtBeGYxpp-0diTYDkTIN82LvfYklVNmdoAnuSkEWT0jlt5iazW2vKPwtTA,Coder Ngu Ngơ,979,I,198,130,True,False,False,False,Challenger
Đu3,Du3,1,WY1ltxTybSUyZbMVwwWdhJalAAKXWluaGLqCHb3UoqAvIhc-WMGucd5LBA,,540,I,177,127,False,False,True,True,Challenger
M1QA,0602,145,bJ7KmQOciR5JoBoFP_0bLOQm2K5ZH4ND73mDUbV__0jwEPJ_IuEoukD1uw,M1QA,854,I,241,183,True,False,False,False,Challenger
Niê H Ji,2000,26,Nk_yIg3O9_QpWpFYkhg0CufjphP-hzEJz4t9_InhMcW6gBqsKPyGH5kBLQ,Vũ Trung Kiên1,773,I,202,175,False,False,True,True,Challenger
GK Imoogi,1809,469,QCYdOO8XoUwZZa0bRzrSaReMOHaR98vG_rM4TFIlCyG0nPfgP6ndLpHKmQ,buonnhieuchut,661,I,193,146,False,False,True,True,Challenger
jlong25101,VN2,1,9y4VU7kwxVr0mp51XPKXwLF-2TrnCWr6jsjCQs9__Tfq2YnuGtcnPEUabw,jlong25101,524,I,68,35,False,False,True,False,Challenger
rot,1000,28,Ms1xS5Boi5SXVjucPa2oc-6OAFjuk2Tl55dsbEtkdRHC0H05RbFaCaQLTg,RoT T2,851,I,217,160,True,False,False,False,Challenger
GD Khar1ch,611,145,9dv7M-SJ1wiGHQFKaSk-MwQem5UQljH9EocbkHILnud4TQfa8vm18PxU1w,GD Khar1ch,795,I,180,147,False,False,True,False,Challenger
CogLee,2323,30,LqPVuWOZjZCWAtxGIRbtg_NXA42QO39FwLoVEI48w7gNhmneGkFIDHEB3w,CogLee,685,I,167,119,False,False,False,False,Challenger
Cerulean,VN23,465,UWqZI-HvtVtfZt7XotnDDnbuY4yqyZEed6v4KQuqlI1Ocq3NYT-XapaCaQ,Cerulean,618,I,196,162,False,False,True,True,Challenger
LuPin,Sữa,121,dn2drzD7Lo689zSUiVMa8URjD74hZ73DJ7FsFknC2Pdi4lBG6qKP8osVcA,LuPiN,943,I,232,176,True,False,False,False,Challenger
Otto Ohoho,2309,144,FDgK1zlbcUt0sKZNPhQiSasoFJFX8DJ2IA_SN-jgkkYB4i0cssF9cyCFQA,Ottooo,948,I,117,74,False,False,False,False,Challenger
bópzúQuỳnhQuỳnh,9430,137,MvGEpAWA6nMj2YvPUSx5KPGbZupOJsi0zZI-yVA6C194dgAlTA3iw2jEAQ,Bệu sợ yêu,777,I,215,142,False,False,True,False,Challenger
Bigg,biggg,168,6k452NQQPnhieyQigf1_Bz1KQ4CiSUkZdmMyZjE-SPj6giEIpY5vSYmFmQ,TRIPLES1X,713,I,146,122,False,False,False,False,Challenger
Uppppp,VN2,337,i0CrkfmFrnvAgGpJG-xgMCDHP0YNY9N7BmCtHklshST3rUmlIDIjGFAaWg,Uppppp,572,I,142,108,False,False,True,False,Challenger
Duy Thu,1997,135,XbWHFTrB8bdkbxLR_uewmKGi1WjwgTdETPpbmMnguZGaUKEuKrvAOQjZHQ,Duy Thu,779,I,249,208,True,False,True,False,Challenger
Mobpsycho,6969,2,G-e_Gvb55cjGcox0UcI9gxp_S6LJ9ksSQvzglApzvBgSLlJkpA2Bw8jw7A,MobPsycho TFT,1213,I,187,119,True,False,False,False,Challenger
LDN,0109,39,Jd6cP27n2d8l3SnpuGU7E-noBaLJVIFPv1dHkpos5ldNlHvLi7-SyD9LEw,98 LDN,554,I,178,147,False,False,False,False,Challenger
Oải Cả Chưởng,Dat,7,Wbm1MBM-G44GQwgHFricl8YrrjUOKS19r9PMVK9KEgasNX4NvBUDcst55A,Castle Đạt,659,I,132,95,False,False,False,False,Challenger
Tú Đầu Bi,1996,1,5KJbMm3k0ZuFURd0-bqpUfGR657x3LDtBVi1dRZ09EKjn0lpRi_6Xxip7A,HP ThíchĐạoChích,1060,I,209,176,True,False,False,False,Challenger
Thích Thành Tâm,2103,208,hEHXNdfK_otaVbiJRnOvJaM_ko1Vr0JRurkpfU_-YGiuqSpDV8tS0f3HsQ,Kết Thúc Mới,721,I,130,80,False,False,True,False,Challenger
tienkafezo,8787,134,srsxHZ3CWSDo1Myq210ZKEbRpIjgLi2qeK7rIq8PikSoAmnzZo1zN7-EMw,SBTC Tiến Kafezo,816,I,180,142,False,False,True,False,Challenger
Yiliu de siwei,1461,551,asWA3JcfmKAnVPc_F72E-sA2y3s2uVgLCLGclQQqqGlPznwZb0jGTnut_w,Yiliu de siwei,605,I,125,96,False,False,True,False,Challenger
DoubleN,D2N,516,CT-e4jiaUZEf9h4hzFnbdRIkPVhYp6xt5A3w7_IOzltWEaY43j2aM4JhUA,DoubleNN,639,I,171,157,False,False,False,False,Challenger
Berry T,92199,268,oo31ObAXawxktglD2xa8J2XlG314eqm09MEGSXlZeFqx2XZa2zp1n0RJsw,Berry T,533,I,160,112,False,False,True,False,Challenger
KaicianLusa,2803,163,-qjGbsg3nWI-vQBtYEEFzVVynQbXy3mouCjxEXI1zbiiLcy-ZVtN-7W9-g,Lusa ơi,801,I,89,51,False,False,True,False,Challenger
Trung Vladimir,trung,325,Ha9NWBVw7qd6N2XaD-36z6FI75j34CUhFfyTAaw372Po6hLaHj-VuEILbw,Trung Vladimir1,1066,I,195,124,True,False,False,False,Challenger
FS Roll 7,phong,75,3A0e-GCzMslOU28Mzgf4QxZqoMya2SehbSpgWRjgwQYVkttqSasBzz9uMg,FS Roll 7,1005,I,194,150,True,False,False,False,Challenger
Dương Phạm HP,1902,1083,OzmJqh-A3q9sExHKEYqxuNuHHHykbh65KmUROkUkdcyijGAlRugKKEPVeA,Dương Phạm 15 HP,718,I,101,62,False,False,False,False,Challenger
ozin,1711,533,ErlixZCGBskzVY8k_90WlzKp7KW70ojagHz7nQDpkjKjIjY_sYd0p8HQtA,PRX f0rs4keN,933,I,134,81,False,False,False,False,Challenger
ayekill,9385,76,kLKfs793g-uBtP9ze5Vi7EK_z3nM4XsMyfr3k82YWDtuYYRI5O9SLdpQ2w,Meow xinh quá z,550,I,128,99,False,False,True,True,Challenger
Đại Thi Hào DDG,Hihi,9,eIyzCRG_mGb1o19AT6IoTFxEYq7QyBgnEa7lJpIv0z69ZAiTfK009xb4YA,VN DDG,519,I,59,23,False,False,True,False,Challenger
Konjiki no Yami,2412,1,jaGBDSATSZ7Po2gGtRbq0jZOBTnxn6FYFFIelDXXRdRy0jpaTH3h5IFp0w,,527,I,174,153,False,False,True,False,Challenger
